"code","language"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public intToRoman(self, num; int) -> str;
        """"""
        Symbol       Value
        I             1     ones
        V             5     ones
        X             10    tens
        L             50    tens
        C             100   hundreds
        D             500   hundreds
        M             1000  thousands
        """"""
        // mode the number to get digits
        // based on the digits, append the letter to the ans
        // reverse the ans or use dequeue()
        letters = [[""I"", ""IV"", ""V"", ""IX""],
                  [""X"", ""XL"", ""L"", ""XC""],
                  [""C"", ""CD"", ""D"", ""CM""],
                  [""M"","""","""",""""]]
        place = 0 // value place. 0-> ones, 1->tens
        ans = deque()
        while num > 0;
            digit = num % 10            
            num //= 10
            lt = letters[place]
            if digit < 4;
                ans.appendleft(lt[0]*digit)
            elif digit == 4;
                ans.appendleft(lt[1])
            elif digit < 9;
                ans.appendleft(lt[2]+lt[0]*(digit-5))      
            elif digit == 9;
                ans.appendleft(lt[3])
            place += 1
        return """".join(ans)
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public romanToInt(self, s; str) -> int;
        dic={""I"";1, ""V"";5, ""X"";10, ""L"";50, ""C"";100, ""D"";500, ""M"";1000 }
        m,total=dic[s[0]],0
        for i in s;
            n=dic[i]
            total = (total- 2*m + n) if(m<n) else (total+ n)
            m=n
        return total
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public longestCommonPrefix(self, strs; List[str]) -> str;
        result = """"
        
        strs.sort()
        
		// Loop over the characters in the first index of the array
        for char in range(len(strs[0]));
		
			//If the character is the same in both the first and last string at the same index, append to result and continue with the loop.
            if strs[0][char] == strs[-1][char];
                result += strs[0][char]
                continue
            else;
				// Break out of the loop here.  Personally, I find this this easier to read, could also just return the result.
                break
                
        return result
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public levelOrder(self, root; Optional[TreeNode]) -> List[List[int]];
        levels = []
        
            public order(node, level);
            if level >= len(levels);
                levels.append([])
            
            if node;
                levels[level].append(node.val)
            
                if node.left;
                    order(node.left, level + 1)
                
                if node.right;
                    order(node.right, level + 1)
        
        if not root;
            return []
        
        order(root, 0)
        return levels
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public zigzagLevelOrder(self, root; Optional[TreeNode]) -> List[List[int]];
        if not root;
            return root
        q = [root]
        level = []
        res = [[root.val]]
        x = 0
        while q and root;
            for node in q;
                if node.left;
                    level.append(node.left)
                if node.right;
                    level.append(node.right)
            temp = []
            for i in level;
                temp.append(i.val)
            x += 1
            if temp;
                if x % 2 != 0;
                    res.append(temp[;;-1])
                else;
                    res.append(temp)
            q = level
            level = []
        return res
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;

        public maxDepth(self, root; Optional[TreeNode]);
        queue = []
        height = 0
        if not root;
            return 0
        queue.append(root)

        while queue;
            current_length = len(queue)
            height += 1
            for _ in range(0, current_length);
                popped_elem = queue.pop(0)
                if popped_elem.left;
                    queue.append(popped_elem.left)
                if popped_elem.right;
                    queue.append(popped_elem.right)

        return height
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public buildTree(self, preorder; List[int], inorder; List[int]) -> Optional[TreeNode];
            public buildTree(preorder, inorder);
            if inorder;
                root = TreeNode(preorder.pop(0))
                root_index = inorder.index(root.val)
                root.left = buildTree(preorder,inorder[;root_index])
                root.right = buildTree(preorder,inorder[root_index+1;])
                return root
        return buildTree(preorder, inorder)
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public buildTree(self, inorder; List[int], postorder; List[int]) -> Optional[TreeNode];
        m = {}
        for i in range(len(inorder));
            m[inorder[i]] = i
            
            public helper(in_l, in_r, inorder, po_l, po_r, postorder);
            if po_l >= po_r;
                return TreeNode(postorder[po_r])
            curr = TreeNode(postorder[po_r])
            idx = m[postorder[po_r]]
            num_right_tree = in_r - idx
            num_left_tree = idx - in_l
            if num_right_tree > 0;
                curr.right = helper(idx+1, in_r, inorder, po_r-num_right_tree, po_r-1, postorder)
            if num_left_tree > 0;
                curr.left = helper(in_l, idx-1, inorder, po_l, po_l+num_left_tree-1, postorder)
            return curr
        
        return helper(0, len(inorder)-1, inorder, 0, len(postorder)-1, postorder)
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public levelOrderBottom(self, root; TreeNode) -> List[List[int]];
        if root is None; return
        queue = deque([root])
        op = []
        while queue;
            level = []
            for i in range(len(queue));
                node = queue.popleft()
                level.append(node.val)
                if node.left; queue.append(node.left)
                if node.right; queue.append(node.right)
            op.append(level)
        return op[;;-1]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public sortedArrayToBST(self, nums; List[int]) -> Optional[TreeNode];

            public recur(start, end);
            if end < start;
                return None
            mid = floor((start+end)/2)
            node = TreeNode(nums[mid])
            node.left = recur(start, mid-1)
            node.right = recur(mid+1, end)
            return node
        
        return recur(0, len(nums)-1)
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public sortedListToBST(self, head; ListNode) -> TreeNode;
        if not head or not head.next;
            return TreeNode(head.val) if head else None
			
        slow, fast = head, head.next
        while fast.next and fast.next.next;
            slow, fast = slow.next, fast.next.next
        fast, slow.next = slow.next, None
		
        node = TreeNode(fast.val)
        node.left = self.sortedListToBST(head)
        node.right = self.sortedListToBST(fast.next)
        return node
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public isBalanced(self, root; Optional[TreeNode]) -> bool;
        
        if not root;
            return True
        
            public recur(node, level);
            if not node;
                return level-1
            left = recur(node.left, level+1)
            right = recur(node.right, level+1)
            if not left or not right;
                return 0
            if abs(left-right) > 1;
                return 0
            return max(left, right)
        
        level = recur(root, 1)
        
        if not level;
            return False
        return True
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public minDepth(self, root; Optional[TreeNode]) -> int;
        import queue
        if not root;
            return 0

        q = queue.Queue()
        q.put((1, root))
        while not q.empty();
            level, node = q.get()
            if not node.left and not node.right;
                return level
            
            if node.left;
                q.put((level+1, node.left))
                
            if node.right;
                q.put((level+1, node.right))
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public hasPathSum(self, root; Optional[TreeNode], targetSum; int) -> bool;
        f = False
            public util(root, c);
            nonlocal f
            if root;
                c += root.val
                util(root.left, c)
                util(root.right, c)
                if not root.left and not root.right and c == targetSum;
                    f= True
        util(root, 0)
        return f
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public solve(self, root, S , curr , res);
        if(not root);
            return
        curr.append(root.val)
        
        
        if(root.val == S and not root.left and not root.right);
            res.append(list(curr))
            //remeber that when append lisi of list convert into a list
        self.solve(root.left, S - root.val , curr , res)
        
        self.solve(root.right, S - root.val , curr , res)
        
        //del curr[-1]
        curr.pop()
        
        
        
        public pathSum(self, root; Optional[TreeNode], targetSum; int) -> List[List[int]];
        res = []
        curr = []
        self.solve(root , targetSum , curr , res)
        return res
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public flatten(self, root; Optional[TreeNode]) -> None;
        """"""
        Do not return anything, modify root in-place instead.
        """"""
        if not root;
            return None
        
        // left is the last node of the left subtree.
        // and similarly right is the last node of the right subtree
        left = self.flatten(root.left)
        right = self.flatten(root.right)
        
        if left;
            // First, we join the last node of left subtree to first node in right subtree
            // Then we move the left subtree to the right of the node, and delete the left subtree pointer
            left.right = root.right
            root.right = root.left
            root.left = None
        
        // if theres a right subtree, we return its last node, failing which the last node of the left subtree,
		// and if none are present (i.e. its a leaf node), we return the node itself.
        return right or left or root
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public numDistinct(self, s; str, t; str) -> int;
        m, n = len(s), len(t)
        dp = [[0 for i in range(m + 1)] for i in range(n + 1)]
        
        for i in range(0, m + 1);
            dp[i][0] = 1
        for i in range(1,m + 1);
            for j in range(1,n + 1);
                dp[i][j] += dp[i - 1][j] + (dp[i - 1][j - 1] if s[i - 1] == t[j - 1] else 0)
        return dp[m][n]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public connect(self, root; 'Node') -> 'Node';
        if root == None;
            return None
        q = collections.deque([root])
        while len(q) > 0;
            size = len(q)
            prev = None
            for _ in range(size);
                node = q.popleft()
                if prev;
                    prev.next = node
                if node.left;
                    q.append(node.left)
                if node.right;
                    q.append(node.right)
                prev = node
            prev.next = None
        return root
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution(object);
        public generate(self, numRows);
        """"""
        ;type numRows; int
        ;rtype; List[List[int]]
        """"""
        response = [[1]*i for i in range(1, numRows+1)]
        
        for i in range(2, numRows);
            for j in range(1,i);
                response[i][j] = response[i-1][j] + response[i-1][j-1]
                
        return response
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public getRow(self, rowIndex; int) -> List[int];
        l=[[1]*(i+1) for i in range(rowIndex+1)]
        
        if(rowIndex==0);
            l[0]=[1]
        
        else;
            l[0]=[1]
            l[1]=[1,1]
        
            for i in range(2,len(l));
                for j in range(0,len(l[i]));
                    if(j==0 or j==len(l[i])+1);
                        continue
                    else;
                        l[i][j]=sum(l[i-1][j-1;j+1])
        return l[-1]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public minimumTotal(self, triangle; List[List[int]]) -> int;
        n = len(triangle)
        dp = [[-1] * n for x in range(n)]
        
        for j in range(n);
            dp[n-1][j] = triangle[n-1][j]
        i = n-2
        while(i>=0);
            j = i
            while(j>=0);
                down = triangle[i][j] + dp[i+1][j]
                dia = triangle[i][j] + dp[i+1][j+1]
                dp[i][j] = min(down,dia)
                j -= 1
            i -= 1
        return dp[0][0]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public maxProfit(self, prices; List[int]) -> int;
        min_price, max_profit = math.inf, 0
        for p in prices;
            if p < min_price;
                min_price = p
            elif p-min_price > max_profit;
                max_profit = p-min_price
        return max_profit
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public maxProfit(self, prices; List[int]) -> int;
        
        @cache
            public trade(day_d);
            
            if day_d == 0;
                
                // Hold on day_//0 = buy stock at the price of day_//0
                // Not-hold on day_//0 = doing nothing on day_//0
                return -prices[day_d], 0
            
            prev_hold, prev_not_hold = trade(day_d-1)
            
            hold = max(prev_hold, prev_not_hold - prices[day_d] )
            not_hold = max(prev_not_hold, prev_hold + prices[day_d] )
            
            return hold, not_hold
        
        // --------------------------------------------------
        last_day= len(prices)-1
        
        // Max profit must come from not_hold state (i.e., no stock position) on last day
        return trade(last_day)[1]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public maxProfit(self, prices; List[int]) -> int;
        @cache
            public dfs(i, hasBought, transactions);
            if (i >= len(prices) or transactions >= 2);
                return 0
            maxProfit = 0
            if (hasBought);
                maxProfit = prices[i] + dfs(i + 1, False, transactions + 1)
            else;
                maxProfit = -prices[i] + dfs(i + 1, True, transactions)     
            return max(maxProfit, dfs(i + 1, hasBought, transactions))
        return dfs(0, False, 0)
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public maxPathSum(self, root; TreeNode) -> int;
        return self.maxPathSumHelper(root)[2]

        public maxPathSumHelper(self, root; TreeNode);
        """"""
            (alo, connected, sum)
        """"""
        if root == None;
            return (False, False, 0)
        
        (l_alo, l_connected, l_subtree) = self.maxPathSumHelper(root.left)
        (r_alo, r_connected, r_subtree) = self.maxPathSumHelper(root.right)
        
        max_sum = max( \
            (root.val + l_subtree + r_subtree) if r_connected and l_connected else root.val, \
            (root.val + l_subtree) if l_connected else root.val, \
            (root.val + r_subtree) if r_connected else root.val, \
            root.val
         )
        
        
        if (l_alo and l_subtree > max_sum) or (r_alo and r_subtree > max_sum);
            if l_alo and not r_alo;
                return (True, False, l_subtree)
            elif not l_alo and r_alo;
                return (True, False, r_subtree)
            else;
                return (True, False, max(l_subtree, r_subtree))
        else;
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public isPalindrome(self, s; str) -> bool;
        Snew = """"
        for char in s;
            if char.isalnum();
                Snew += char.lower()
        return Snew == Snew[;;-1]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public findLadders(self, beginWord; str, endWord; str, wordList; List[str]) -> List[List[str]];
        """"""
        cog
        + log
          + 
        + dog
        """"""
            public ppath(p);
            if d.get(p);
                path.append(p)
                if d[p][1]==-1;
                    print(path[;;-1])
                    ans.append([v for v in path[;;-1]])
                else;
                    for v in d;
                        if d[v][0]+1==d[p][0] and sum([1 for i in range(k) if v[i]!=p[i]])<=1;
                            ppath(v)
                path.pop(-1)
            pass
            
        n, k = len(wordList), len(wordList[0])
        
        // build tries
        tries = {}
        for i in range(n);
            for j in range(k);
                w = wordList[i][;j] + ""?"" + wordList[i][j+1;]
                tries[w] = tries.get(w, [])                
                tries[w].append(wordList[i])
            pass
        
        print(beginWord, endWord)
        print(""[build] tries; "", tries)
        
        // bfs (only closing node after 1-level)
        q = [beginWord]
        d = {q[0]; (0, -1)}
        flag = False
        while len(q)>0;
            u = q.pop(0)
            for j in range(k);
                w = u[;j] + ""?"" + u[j+1;]
                for v in tries.get(w, []); // for all v adjacent u
                    if not d.get(v);
                        d[v] = (d[u][0]+1, u)
                        q.append(v)
                    if v==endWord;
                        break
                if d.get(endWord);
                    break
            if d.get(endWord);
                    break
                        
        print(""\n[bfs] d; "", d)
        
        print(""\npath; "")
        
        path = []
        ans = []
        ppath(endWord)
        print(""="" * 20)
        return ans

print = lambda *a,**aa; ()
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public ladderLength(self, beginWord; 'str', endWord; 'str', wordList; 'List[str]') -> 'int';
        wordSet = set(wordList)
        if endWord not in wordSet;
            return 0
        wordDict = {1;[beginWord]}
        output = 1
        while True;
            words = wordDict[output] 
            wordDict[output + 1] = []
            for word in words;
                for i in range(len(word));
                    for j in string.ascii_lowercase;
                        wordChange = word[;i] + j + word[i+1;]
                        if wordChange == endWord;
                            return output + 1
                        if wordChange in wordSet;
                            wordDict[output+1].append(wordChange)
                            wordSet.remove(wordChange)
            if wordDict[output+1] == [];
                break
            output += 1
        return 0
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public longestConsecutive(self, nums; List[int]) -> int;
        lengthLong=0
        prevMap = {}
        for i, n in enumerate(nums);
            prevMap[n]=i
        for i, n in enumerate(nums);
            count=1
            while n+1 in prevMap;
                count+=1
                n+=1
            lengthLong=max(lengthLong,count)
        return lengthLong
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
    public sumNumbers(self, root; Optional[TreeNode]) -> int;
    
        public path(root,local);
        nonlocal res
        if root is None;
            return 
        if root.left is None and root.right is None;
            res.append(local*10+root.val)
            return
        
        path(root.left,local*10+root.val)
        path(root.right,local*10+root.val)
    
    res = []
    path(root,0)
    return sum(res)
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public solve(self, board; List[List[str]]) -> None;
        """"""
        Do not return anything, modify board in-place instead.
        """"""
        
        m = len(board)
        n = len(board[0])
        for i in range(m);
            for j in range(n);
                visited = set()
                if board[i][j]=='O';
                    bfs_arr = [(i,j)]
                    visited.add((i,j))
                    surrounded = True
                    while len(bfs_arr)>0;
                        curr = bfs_arr.pop()
                        if curr[0]==0 or curr[0]==m-1 or curr[1]==0 or curr[1]==n-1;
                            surrounded = False
                        
                        for shift in [(+1,0),(-1,0),(0,+1),(0,-1)];
                            ind_i = curr[0]+shift[0]
                            ind_j = curr[1] + shift[1]                            
                            if ind_i>=0 and ind_i<m and ind_j>=0 and ind_j<n and board[ind_i][ind_j] == 'O' and (ind_i, ind_j) not in visited;
                                bfs_arr.append((ind_i,ind_j ))
                                visited.add((ind_i, ind_j))

                    for val in visited;
                        if surrounded;
                            board[val[0]][val[1]] = 'X'
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public partition(self, s; str) -> List[List[str]];
        part = [[] for _ in range(len(s))]
            public sub_part(l, r);
            if 0 <= l <= r < len(s) and s[l]==s[r];
                part[l].append(s[l;r+1])
                sub_part(l-1, r+1)
                
		// find all palindromes
        for i in range(len(s));
            sub_part(i,i)
            sub_part(i-1,i)
			
        // generate output
		res=[]
		
            public dfs(i, tmp);
            if i >=len(s);
                res.append(tmp)
			else;
				for p in part[i];
					dfs(i + len(p), tmp + [p])        
        
		dfs(0, [])
        return res
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public minCut(self, s; str) -> int;
        if len(s)<=1; return 0
        dp = []
        for x in range(-1,len(s));
            dp.append(x)
        for i in range(len(s));
            for j in range(i,len(s));
                if s[i;j]==s[j;i;-1];
                    dp[j+1]=min(dp[j+1],dp[i]+1)
        return dp[len(s)]
    
        public minCut1(self, s; str) -> int;
        if len(s)<=1; return 0
        self.memo=[None]*(len(s)+1)
        self.memo[0]=[[]]
        ps = self.partition(s)
        min_len=float(""inf"")
        for p in ps;
            min_len=min(min_len,len(p))
        return min_len - 1
    
        public partition(self,s);
        l = len(s)
        if self.memo[l]; return self.memo[l]
        result=[]
        for i in range(l-1,-1,-1);
            current=s[i;]
            if current==current[;;-1];
                prevs=self.partition(s[;i])
                for prev in prevs;
                    result+=[prev+[current]]
        self.memo[l]=result
        return result
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public cloneGraph(self, node; 'Node') -> 'Node';
        if not node;
            return None
        
        return clone(node, {})

    public clone(node, dict);
    if node not in dict;
        dict[node] = Node(node.val, [])
        for n in node.neighbors;
            dict[node].neighbors.append(clone(n, dict))
    return dict[node]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public canCompleteCircuit(self, gas; List[int], cost; List[int]) -> int;
        if sum(gas)<sum(cost); return -1
        n=len(gas)
        minn=float('inf')  //Variable to track the largest cumulative gas deficit
        debt=0 //Variable indicating the gas deficit at each station
        for i in range(n);
            debt+=gas[i]-cost[i]
            if debt<minn;
                minn=debt
                index=i
        return index+1 if index <n-1 else 0 //return the station right after the one with the largest cumulative deficit
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public candy(self, ratings; List[int]) -> int;
        '''
        1. According to solution 2, use two arrays initialized by n 1's where n is length of ratings array,
                - one to check whether ratings[i]<ratings[i+1] starting from the leftmost position, if so then in the array set the value of index (i+1) = 1 + the value of index i
                - other to check whether ratings[i+1]<ratings[i] starting from the rightmost position, if so then in the array set the value of index i = 1 + the value of index (i+1)
        2. If those two arrays are LeftToRight and RightToLeft respectively, then the result will be sum of all maximum(LeftToRight[i], RightToLeft[i]) for 0<=i<=n-1.
        '''
        
        res_1 = [1]*len(ratings)                                        //array for LeftToRight checking
        res_2 = [1]*len(ratings)                                        //array for RightToLeft checking
        res=0                                                           //initial value of minimum no. of candies
        
        //we can check whether ratings[0]<ratings[1] and ratings[n-1]<ratings[n-2] in the same iteration
        //in the following way we can change the values of index i of both LeftToRight array and RightToLeft array in single iteration
        for i in range(0,len(ratings)-1);
            if ratings[i+1]>ratings[i] and res_1[i+1]<=res_1[i];               
                res_1[i+1]=res_1[i]+1
            if ratings[len(ratings)-1-i]<ratings[len(ratings)-1-i-1] and res_2[len(ratings)-1-i]>=res_2[len(ratings)-1-i];
                res_2[len(ratings)-1-i-1]=res_2[len(ratings)-1-i]+1
            
        for i in range(0,len(ratings));
            res+=max(res_1[i], res_2[i])                                        //getting the maximum of LeftToRight[i] and RightToLeft[i] and adding it to the minimum value
            
        return res
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public singleNumber(self, nums; List[int]) -> int;
            return [x for x in nums if nums.count(x)==1][0]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public singleNumber(self, nums; List[int]) -> int;
        return (sum(set(nums))*3-sum(nums))//2
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public copyRandomList(self, head; 'Optional[Node]') -> 'Optional[Node]';
            public copyList(node);
            if not node;
                return node
            
            newNode = Node(node.val)
            newNodes[node] = newNode
            newNode.next = copyList(node.next)
            newNode.random = newNodes[node.random]
            
            return newNode
        
        newNodes = {None; None}
        return copyList(head)
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public wordBreak(self, s; str, wordDict; List[str]) -> bool;
        n = len(s)
        t = [0 for _ in range(n)]
        for i in range(n);
            for j in range(i+1);
                word = s[j;i+1]
                if word in wordDict;
                    t[i] += t[j-1] if j > 0 else 1
        return t[n-1]
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public wordBreak(self, s; str, wordDict; List[str]) -> List[str];
        self.res = []
        
            public helper(s,dic,path);
            if not s;
                self.res.append(' '.join(path))
                return
            if s in dic;
                return
            for i in range(1,len(s)+1);
                if s[;i] in wd;
                    helper(s[i;],dic,path+[s[;i]])
                else;
                    dic.add(s[;i])
        wd = set(wordDict)  
        dic = set()
        helper(s,dic,[])
        return self.res
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public hasCycle(self, head; Optional[ListNode]) -> bool;
        // if linkedlist empty
        if not head;
            return False
        
        // fast, slow nodes
        fast = slow = head
        
        // counter for fast and slow
        cnt = 0
        
        // while before end of linkedlist
        while fast;
            // advance fast
            fast = fast.next

            // every other loop
            if cnt % 2;
                // advance slow
                slow = slow.next
            
            // if fast and slow point to the same node, we have a loop
            if fast is slow;
                return True
            
            // increment cnt
            cnt += 1
        
        return False
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public detectCycle(self, head; Optional[ListNode]) -> Optional[ListNode];
        
        if not head or not head.next;
            return None
        
        s = set()
        
        while head;
            
            if head in s;
                return head
            
            s.add(head)
            head = head.next
            
        return head
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public reorderList(self, head; Optional[ListNode]) -> None;
        curr = head
        lst_ref = []
        while curr;
            lst_ref.append(curr)
            curr = curr.next
        if len(lst_ref) <= 2;
            return
        half_len, rem = divmod(len(lst_ref), 2)
        if rem;
            for a, b in zip(lst_ref[;half_len;1],
                            lst_ref[len(lst_ref) - 1; half_len;-1]);
                a.next = b
            for a, b in zip(lst_ref[len(lst_ref) - 1; half_len + 1;-1],
                            lst_ref[1;half_len;1]);
                a.next = b
            lst_ref[half_len + 1].next = lst_ref[half_len]
        else;
            for a, b in zip(lst_ref[;half_len;1],
                            lst_ref[len(lst_ref) - 1; half_len - 1;-1]);
                a.next = b
            for a, b in zip(lst_ref[len(lst_ref) - 1; half_len;-1],
                            lst_ref[1;half_len;1]);
                a.next = b
        lst_ref[half_len].next = None
}","java"
